"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"3123";"DML - 625 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1681";"SUP PE 2";"VP COMERCIAL";"VENDAS";""
"2153";"EQUIPE CONTAS BA";"VP COMERCIAL";"VENDAS";""
"1984";"CONTAS ES";"VP COMERCIAL";"VENDAS";""
"51";"DIRETORIA AUDITORIA E COMPLIANCE";"PRESIDENCIA";"AUDITORIA E COMPLIANCE";""
"1831";"PE EQUIPE M&A - T1";"PRESIDENCIA";"LOGISTICA";""
"2409";"DML - 71 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3643";"ROS - 397 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3511";"SPI ENCARREGADO GPP";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"138";"EQUIPE DESENVOLVIMENTO ORGANIZACIONAL";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"3484";"ENCARREGADO RJ 2";"VP VAREJO";"OPERACOES LOJAS";""
"3068";"TMO - 183 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"47";"GER PLANEJAMENTO COMERCIAL";"VP COMERCIAL";"COMERCIAL";""
"172";"COORD HB/OTC TRADE MARKETING";"VP VAREJO";"COMERCIAL VAREJO";""
"195";"GER REGIONAL ROS 4";"VP VAREJO";"OPERACOES LOJAS";""
"1647";"SUP SC 2";"VP COMERCIAL";"VENDAS";""
"3762";"RJ EQUIPE GPP E GR SPECIALTY";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3500";"EQUIPE SUPERINTENDENCIA BP VAREJO";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"3525";"SPI BOMBEIRO CIVIL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3042";"TMO - 152 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2589";"ROS - 381 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3073";"TMO - 130 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2898";"TMO - 135 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2087";"SUP SERVICE DESK";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"26";"RJ EQUIPE ADMINISTRATIVO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2762";"ROS - 340 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2021";"CADASTRO CONDICOES COMERCIAIS EQUIPE";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"3287";"EQUIPES ANALISTAS CDs";"VP COMERCIAL";"VENDAS";""
"2788";"ROS - 375 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2832";"TMO - 108 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3213";"EQUIPE SELL OUT 3";"VP VAREJO";"COMERCIAL VAREJO";""
"1961";"EQUIPES SPC 4";"VP COMERCIAL";"VENDAS";""
"2837";"TMO - 138 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2316";"DML - 63 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"137";"EQUIPE COORD ATRACAO SELECAO VAREJO";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"1581";"SPC EQUIPE FACILITIES";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2579";"ROS - 327 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3229";"DF ENCARREGADO ESTOQUE/ ARMAZENAGEM T3";"PRESIDENCIA";"LOGISTICA";""
"2357";"DML - 57 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2001";"EQUIPES RS 3";"VP COMERCIAL";"VENDAS";""
"2804";"ROS - 365 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3716";"EQUIPE DBA";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"1978";"CONTAS NACIONAIS";"VP COMERCIAL";"VENDAS";""
"2470";"DML - 14 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2699";"ROS - 346 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1493";"SUP CONTAS PR";"VP COMERCIAL";"VENDAS";""
"3423";"EQUIPE SISTEMAS VAREJO 2";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3406";"TMO - 191 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2012";"RN EQUIPE GPP";"PRESIDENCIA";"LOGISTICA";""
"1553";"RJ ENCARREGADO ABASTECIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"1804";"MG EQUIPE CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"2353";"DML - 41 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3207";"HCS BUFFER SUBS LOJAS";"VP VAREJO";"OPERACOES VAREJO";""
"3077";"TMO - 141 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3174";"ROS - 464 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1642";"GER PE/AL/PB/RN";"VP COMERCIAL";"VENDAS";""
"3098";"TMO - 180 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2730";"ROS - 393 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"244";"COMERCIAL NAO MEDICAMENTOS";"VP COMERCIAL";"COMERCIAL";""
"3026";"TMO - 155 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2076";"GESTAO COMERCIAL EQUIPES";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"342";"GER CALL CENTER";"VP COMERCIAL";"VENDAS";""
"1888";"BA EQUIPE D&E TRANSPORTE";"PRESIDENCIA";"LOGISTICA";""
"3498";"ROS - 473 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1875";"PB EQUIPE ARMAZENAGEM - T1";"PRESIDENCIA";"LOGISTICA";""
"2559";"ROS - 351 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1776";"PR ENCARREGADO ABASTECIMENTO/PRODUCAO - T1";"PRESIDENCIA";"LOGISTICA";""
"3621";"TMO - 135 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"155";"GER CRM";"VP VAREJO";"MARKETING VAREJO";""
"1462";"COORD CONSOLIDACAO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3363";"ROS - 324 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"102";"COORD CONTABIL VAREJO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"1477";"GER GPP E GR";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"200";"GER REGIONAL TMO 5";"VP VAREJO";"OPERACOES LOJAS";""
"1349";"EQUIPE GOVERNANCA E CONTROLE";"PRESIDENCIA";"LOGISTICA";""
"2192";"RJ EQUIPE GPP (REPORT ENC)";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1686";"SUP RS - ASSOCIATIVISMO";"VP COMERCIAL";"VENDAS";""
"2676";"ROS - 350 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3029";"TMO - 167 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"49";"GER TI SPECIALTY";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"1918";"ES EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3797";"ROS - 385 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2252";"DML - 603 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"428";"SPC ENCARREGADO RECONFERENCIA - T2";"PRESIDENCIA";"LOGISTICA";""
"2093";"RJ COORD TORRE DE CONTROLE";"PRESIDENCIA";"LOGISTICA";""
"2522";"ROS - 305 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3264";"CONSELHO";"CONSELHO";"CONSELHO";""
"2629";"ROS - 353 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2840";"TMO - 162 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2265";"DML - 74 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1864";"PB EQUIPE M&A";"PRESIDENCIA";"LOGISTICA";""
"3394";"ROS - 370 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2128";"GER COMUNICACAO INSTITUCIONAL";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2244";"EQUIPE NE - ASSOC / IND";"VP COMERCIAL";"VENDAS";""
"3067";"TMO - 181 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3211";"EQUIPE SELL OUT 1";"VP VAREJO";"COMERCIAL VAREJO";""
"206";"SUP CALL CENTER RJ VAREJO";"VP VAREJO";"OPERACOES LOJAS";""
"2982";"TMO - 112 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2466";"DML - 620 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1610";"SPI ENCARREGADO LINHA 3/ABASTECIMENTO - T3";"PRESIDENCIA";"LOGISTICA";""
"1673";"SUP SPI 4";"VP COMERCIAL";"VENDAS";""
"2733";"ROS - 442 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3201";"GER SUPRIMENTOS VAREJO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"3477";"EQUIPE PLANEJAMENTO FINANCEIRO VAREJO 2";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"1479";"RJ SUP GPP";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3421";"COORD SISTEMAS VAREJO 2";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2853";"TMO - 109 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2124";"SUP MG 2";"VP COMERCIAL";"VENDAS";""
"3050";"TMO - 179 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1922";"ES EQUIPE M&A - T3";"PRESIDENCIA";"LOGISTICA";""
"3069";"TMO - 196 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2134";"EQUIPE MT VENDAS";"VP COMERCIAL";"VENDAS";""
"2428";"DML - 44 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"3751";"EQUIPE COBRANÇA SPECIALTY";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1710";"GO ENCARREGADO D&E - T3";"PRESIDENCIA";"LOGISTICA";""
"2606";"ROS - 353 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1737";"DF EQUIPE DEVOLUCAO VAREJO";"PRESIDENCIA";"LOGISTICA";""
"1409";"GER H1, H2 e H3";"PRESIDENCIA";"INOVACAO";""
"1594";"SPC ENCARREGADO CRDK/FOB - T1";"PRESIDENCIA";"LOGISTICA";""
"1925";"ES EQUIPE D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"3158";"DML - 51 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2052";"EQUIPES MT 1";"VP COMERCIAL";"VENDAS";""
"1917";"ES EQUIPE GR";"PRESIDENCIA";"LOGISTICA";""
"2";"VP CORPORATIVA";"PRESIDENCIA";"PRESIDENCIA";""
"2413";"DML - 94 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2910";"TMO - 995 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2121";"EQUIPE MG";"VP COMERCIAL";"VENDAS";""
"1919";"ES ENCARREGADO M&A - T1";"PRESIDENCIA";"LOGISTICA";""
"1935";"ES EQUIPE CRDK M&A  - T1";"PRESIDENCIA";"LOGISTICA";""
"3657";"RJ ENC SPECIALTY";"VP SPECIALTY";"VP SPECIALTY";""
"2643";"ROS - 317 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1346";"GER PROJETOS LOGISTICOS";"PRESIDENCIA";"LOGISTICA";""
"3501";"RJ ENCARREGADO COBRANCA";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3071";"TMO - 126 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2558";"ROS - 349 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2486";"DML - 10 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3773";"DF EQUIPE CRDK";"PRESIDENCIA";"LOGISTICA";""
"1971";"EQUIPES SE";"VP COMERCIAL";"VENDAS";""
"1748";"RS EQUIPE BLOQ";"PRESIDENCIA";"LOGISTICA";""
"2270";"DML - 601 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1783";"PR EQUIPE CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"2709";"ROS - 442 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"1614";"SPI EQUIPE FACILITIES";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3260";"VEND ASSOC - SPI";"VP COMERCIAL";"VENDAS";""
"1466";"GER CREDITO E COBRANCA";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1636";"GER MG";"VP COMERCIAL";"VENDAS";""
"2866";"TMO - 186 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1834";"PE ENCARREGADO M&A - T3";"PRESIDENCIA";"LOGISTICA";""
"1555";"RJ ENCARREGADO ARMAZENAGEM - T2";"PRESIDENCIA";"LOGISTICA";""
"3772";"ROS - 476 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2492";"DML - 36 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1799";"MG ENCARREGADO PRODUCAO - T3";"PRESIDENCIA";"LOGISTICA";""
"2745";"ROS - 402 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3757";"TMO - 235 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1941";"EQUIPES REDES SUL 2";"VP COMERCIAL";"VENDAS";""
"1356";"COORD PLANEJAMENTO LOGISTICO (CRDK/FOB)";"PRESIDENCIA";"LOGISTICA";""
"3319";"ES ENCARREGADO M&A - EQUIPE 02";"PRESIDENCIA";"LOGISTICA";""
"2564";"ROS - 381 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3628";"EQUIPE ADMINISTRACAO DE PESSOAL";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2858";"TMO - 144 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3182";"GER CONSULTORIA PROJETO";"PRESIDENCIA";"PRESIDENCIA";""
"2887";"TMO - 172 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2228";"SPC SUP M&A - T1 E T2";"PRESIDENCIA";"LOGISTICA";""
"2175";"EQUIPE HBN RJ";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"2967";"TMO - 137 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2364";"DML - 13 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"213";"COORD CANAIS DIGITAIS";"VP VAREJO";"COMERCIAL VAREJO";""
"2184";"SPC ENCARREGADO GEO/QUALIDADE - T1";"PRESIDENCIA";"LOGISTICA";""
"1469";"EQUIPE RECEBIVEIS";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2734";"ROS - 445 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2385";"DML - 41 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2082";"GER REGIONAL MT";"PRESIDENCIA";"LOGISTICA";""
"1600";"SPI EQUIPE ABASTECIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"2664";"ROS - 306 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3350";"DML - 625 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"360";"RJ GER OPERACOES M&A";"PRESIDENCIA";"LOGISTICA";""
"3349";"TMO - 222 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"182";"GER MANUTENCAO";"VP VAREJO";"OPERACOES VAREJO";""
"2923";"TMO - 146 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1545";"RJ ENCARREGADO CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"2692";"ROS - 313 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1932";"ES ENCARREGADO CRDK - T3";"PRESIDENCIA";"LOGISTICA";""
"2912";"TMO - 103 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2708";"ROS - 441 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1747";"RS EQUIPE FACILITIES";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1818";"MG EQUIPE D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"1599";"SPI ENCARREGADO ABASTECIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"2526";"ROS - 316 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2928";"TMO - 177 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2263";"DML - 97 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2164";"SPC EQUIPE ARMAZENAGEM - T1";"PRESIDENCIA";"LOGISTICA";""
"1669";"SUP CONTAS SPC";"VP COMERCIAL";"VENDAS";""
"2363";"DML - 12 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"1535";"RJ ENCARREGADO LINHA 3 - T2";"PRESIDENCIA";"LOGISTICA";""
"3323";"DML - 622 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2768";"ROS - 365 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1546";"RJ EQUIPE CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"3604";"DML - 634 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1554";"RJ EQUIPE ABASTECIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"2387";"DML - 46 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1482";"RJ EQUIPE DEVOLUCAO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2022";"SUP MG NORTE 3";"VP COMERCIAL";"VENDAS";""
"3226";"EQUIPE DIST CD";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3493";"ROS - 468 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3377";"TMO - 191 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2806";"ROS - 375 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3749";"SPC EQUIPE SPECIALTY T1";"PRESIDENCIA";"DIRETORIA EXECUTIVA LOGISTICA";""
"2041";"EQUIPE COORD FISCAL";"VP ESTRATEGIA E FINANCAS";"TRIBUTARIA E FISCAL";""
"2637";"ROS - 394 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3196";"EQUIPE E-COMMERCE VAREJO";"VP VAREJO";"OPERACOES VAREJO";""
"1443";"SUP OPERACOES FILIAIS (AL, DA, MG, PB, PE, RN, SE, SPI, SPC)";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"3372";"ROS - 407 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2952";"TMO - 185 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3090";"TMO - 132 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3056";"TMO - 129 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"133";"EQUIPE REMUNERACAO";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2859";"TMO - 158 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1678";"SUP SE";"VP COMERCIAL";"VENDAS";""
"3412";"DML - 631 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1565";"RJ ENCARREGADO RECEBIMENTO - T3";"PRESIDENCIA";"LOGISTICA";""
"3307";"EQUIPE ARQUITETURA";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3228";"EQUIPE REDES BA/SE";"VP COMERCIAL";"VENDAS";""
"2763";"ROS - 344 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1991";"MG - J&J";"VP COMERCIAL";"VENDAS";""
"2243";"RJ ENCARREGADO OPERACAO DE EXCESSO - T1";"PRESIDENCIA";"LOGISTICA";""
"3783";"ROS - 477 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2199";"SPC ENCARREGADO CRDK/FOB - T1";"PRESIDENCIA";"LOGISTICA";""
"163";"ESPECIALISTA FARMA";"VP VAREJO";"MARKETING VAREJO";""
"2567";"ROS - 444 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2724";"ROS - 350 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2673";"ROS - 335 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2828";"TMO - 192 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1550";"RJ EQUIPE ABASTECIMENTO - T2";"PRESIDENCIA";"LOGISTICA";""
"3674";"SUPERINTENDENCIA ESCRITORIO PROJETOS";"PRESIDENCIA";"PRESIDENCIA";""
"2647";"ROS - 341 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2000";"SUP RS 3";"VP COMERCIAL";"VENDAS";""
"1701";"GO EQUIPE PRODUCAO - T1";"PRESIDENCIA";"LOGISTICA";""
"1846";"RN SUP M&A";"PRESIDENCIA";"LOGISTICA";""
"2810";"ROS - 430 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2876";"TMO - 124 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2102";"MT EQUIPE D&E";"PRESIDENCIA";"LOGISTICA";""
"141";"EQUIPE PEOPLE ANALYTICS";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"3457";"MT ENCARREGADO M&A PRODUCAO - T3";"PRESIDENCIA";"LOGISTICA";""
"1418";"SUPERINTENDENCIA ESTRATEGIA E GESTAO DISTRIBUICAO";"PRESIDENCIA";"ESTRATEGIA E GESTAO DISTRIBUICAO";""
"2073";"GER NEGOCIACAO DE VENDAS";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
"3557";"DML - 637 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"232";"GER COMERCIAL GENERICOS";"VP COMERCIAL";"COMERCIAL";""
"2546";"ROS - 303 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"337";"GER CANAIS DIGITAIS";"VP COMERCIAL";"MARKETING";""
"3691";"SPI SUP CGG";"PRESIDENCIA ";"CULTURA E GESTAO DE GENTE";""
"2308";"DML - 4 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3419";"EQUIPE COMUNICACAO INSTITUCIONAL";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2675";"ROS - 346 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"69";"EQUIPE ADMINISTRACAO DE PESSOAL - FOLHA";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"3581";"COORD GESTAO COMERCIAL 2";"VP SPECIALTY";"VP SPECIALTY";""
"1849";"RN EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"2133";"DIRETORIA ADMINISTRATIVA FINANCEIRA";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2570";"ROS - 301 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3566";"TMO - 224 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2562";"ROS - 370 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"1946";"EQUIPES GO 2";"VP COMERCIAL";"VENDAS";""
"2188";"RJ EQUIPE FOB";"PRESIDENCIA";"LOGISTICA";""
"2633";"ROS - 361 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2534";"ROS - 351 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"168";"CONVENIO";"VP VAREJO";"MARKETING VAREJO";""
"170";"GER GENERICO";"VP COMERCIAL";"COMERCIAL";""
"2925";"TMO - 154 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3677";"ESPECIALISTA PROJETOS 2";"PRESIDENCIA";"LOGISTICA";""
"3638";"DML - 641 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2329";"DML - 22 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2645";"ROS - 329 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2870";"TMO - 194 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2165";"INATIVA";"PRESIDENCIA";"LOGISTICA";""
"2317";"DML - 64 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2681";"ROS - 387 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2732";"ROS - 441 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3237";"TO COORD OPERACOES";"PRESIDENCIA";"LOGISTICA";""
"2099";"MT EQUIPE FATURAMENTO";"PRESIDENCIA";"LOGISTICA";""
"1806";"MG EQUIPE D&E TRANSPORTE";"PRESIDENCIA";"LOGISTICA";""
"2096";"SUP CONTAS MG";"VP COMERCIAL";"VENDAS";""
"335";"COORD RELACIONAMENTO";"VP COMERCIAL";"MARKETING";""
"3609";"EQUIPE SPECIALTY CALL CENTER";"VP SPECIALTY";"VP SPECIALTY";""
"2657";"ROS - 364 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1703";"GO EQUIPE RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"2310";"DML - 22 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2907";"TMO - 172 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1392";"DIRETORIA ESG";"PRESIDENCIA";"ESG";""
"199";"GER REGIONAL TMO 4";"VP VAREJO";"OPERACOES LOJAS";""
