"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"3155";"ROS - 378 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"3347";"ROS/DF - 368 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1956";"EQUIPES MG SUL 2";"VP COMERCIAL";"VENDAS";""
"2815";"TMO - 116 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1691";"GO EQUIPE GR";"PRESIDENCIA";"LOGISTICA";""
"3647";"RJ ENCARREGADO SEPARACAO - T3";"PRESIDENCIA ";"LOGISTICA";""
"2200";"SPC EQUIPE CRDK/FOB - T1";"PRESIDENCIA";"LOGISTICA";""
"1719";"DF EQUIPE RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"1411";"EQUIPE PROJETOS 3";"PRESIDENCIA";"PRESIDENCIA";""
"157";"GER ESPECIALISTA FARMA";"VP VAREJO";"MARKETING VAREJO";""
"1526";"RJ EQUIPE LINHA 3 - T1";"PRESIDENCIA";"LOGISTICA";""
"3254";"GER CONSULTORIA PROJETO";"PRESIDENCIA";"PRESIDENCIA";""
"111";"PREVENCAO DE PERDAS - INTELIGENCIA";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"159";"COORD COMUNICACAO INSTITUCIONAL";"VP VAREJO";"MARKETING VAREJO";""
"1997";"PLANEJAMENTO DE VENDAS 2";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
"1380";"GER GESTAO DE CATEGORIAS NAO MEDICAMENTOS";"VP COMERCIAL";"COMERCIAL";""
"1745";"RS EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3458";"MT ENCARREGADO M&A MEZANINO - T3";"PRESIDENCIA";"LOGISTICA";""
"1937";"EQUIPES PR 2";"VP COMERCIAL";"VENDAS";""
"3358";"DML - 44 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"101";"GER INVENTARIO LOJAS";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"3043";"TMO - 153 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1793";"MG ENCARREGADO RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"347";"SUP PAs EXCLUSIVAS";"VP COMERCIAL";"VENDAS";""
